Label,Tree #,Height (cm),Leaf Spot,Canker #,Disease Severity,Cankers/cm
T61_E_16-1,1,38,Y,7,4,0.184210526
353_E_31,3,72,Y,0,1,0
717_E_28,1,16,N,0,1,0
353_R_8,1,66,Y,0,1,0
717_E_60,2,65,N,1,4,0.015384615
353_E_28,4,62,N,1,3,0.016129032
717_8_39,1,26,N,0,1,0
353_E_50,2,27,N,0,1,0
717_8_15,2,MISSING,-,-,-,#VALUE!
353_E_15,3,13,Y,4,5,0.307692308
353_E_7,2,64,Y,8,4,0.125
353_R_61,2,77,N,6,4,0.077922078
353_R_30,2,58,N,0,1,0
353_R_30,1,65,N,3,4,0.046153846
353_R_11,2,68,Y,9,4,0.132352941
353_E_25,2,8,N,0,1,0
353_R_53,2,78,Y,4,4,0.051282051
717_8_11,1,63,N,0,1,0
717_E_60,1,65,N,0,1,0
353_E_45,3,48,N,2,4,0.041666667
353_E_44,1,68,N,1,4,0.014705882
353_R_20,2,69,N,,,0
T61_R_6-1,1,32,Y,12,5,0.375
353_R_3,2,61,Y,0,1,0
353_E_24,1,73,N,5,4,0.068493151
353_8_29,3,60,Y,4,3,0.066666667
353_E_46,2,36,Y,1,,0.027777778
717_E_44,1,70,Y,0,1,0
717_E_39,1,70,N,0,1,0
353_R_3,1,69,N,4,4,0.057971014
353_E_19,2,68,Y,0,1,0
353_E_32,1,68,N,1,4,0.014705882
353_E_50,1,70,N,1,4,0.014285714
353_8_41,4,44,Y,2,4,0.045454545
353_R_27,2,56,Y,1,2,0.017857143
353_R_32,2,62,N,1,4,0.016129032
WV94_E_8-1,3,41,N,0,1,0
WV94_R_3-2,1,22,N,0,1,0
WV94_E_7-1,1,18,N,0,1,0
353_E_33,2,54,Y,1,4,0.018518519
353_E_24,1,62,N,2,3,0.032258065
717_E_16,2,49,N,0,1,0
WV94_8_1-2,3,33,N,0,1,0
353_E_14,1,72,N,0,1,0
WV94_E_4-1,1,29,N,0,1,0
353_8_36,1,49,Y,0,1,0
353_8_18,1,63,Y,0,1,0
WV94_WT,6,21,N,0,1,0
353_WT,4,34,Y,0,1,0
353_E_45,2,64,N,2,4,0.03125
353_8_16,2,65,N,0,1,0
353_E_4,4,70,N,0,1,0
353_R_2,2,47,Y,0,1,0
353_8_35,2,48,N,0,1,0
717_E_23,1,54,N,0,1,0
353_E_33,1,52,Y,0,1,0
353_8_41,3,29,N,0,1,0
353_E_19,1,33,N,0,1,0
